id	sentence_number	sentence_text
1	1	"Page 1

STRATEGY  

19 September 2019  

1 (4)  

STYR 2017/1345  

Lund Universitys strategy for sustainable development 20192026  
Approved by the vice-chancellor 19 September 2019  

Lund University is to understand, explain and improve our world and the human
condition  
and by doing so act as a driving force for sustainable development."
1	2	"The
University works ac-  
tively to integrate an overall approach to sustainable development in all its
activities: educa-  
tion, research, external engagement and organisational development."
1	3	"1\. Background  

In a sustainable world, peoples needs are met without compromising future
generations possibili-  
ties to meet their needs."
1	4	"This requires that society addresses a number of
major challenges so that  
economic development is within the framework for social and environmental
sustainability, and the  
Earths resources are not depleted."
1	5	"Such a global vision for sustainable
development is expressed in  
the UNs 17 sustainable development goals from 2015."
1	6	"The UNs Agenda 2030
states how these  
goals are to be achieved."
1	7	"The sustainable development goals form an integrated
and indivisible  
whole in which the different goals address all dimensions of sustainability:
economic, social and en-  
vironmental."
1	8	"As the goals by their very nature are linked, there is a need for
solutions that create syn-  
ergies and lead development forwards, while there is also a need for knowledge
on how to identify  
and manage goal conflicts."
1	9	"The issues relating to sustainable development are not new, but have become
increasingly topical  
due to the fact that the striving for social sustainability with basic human
rights such as the right to  
a satisfactory standard of living, health, work and education and gender
equality for present and fu-  
ture generations is being made more difficult by ongoing climate change,
overexploitation of the  
Earths resources, depletion of biodiversity, other environmental pollution
and conflicts."
1	10	"In many  
cases there is little time to identify and implement solutions to meet these
challenges, as delays in  
working towards sustainable development successively lead to a desirable
future being increasingly  
difficult to realise."
1	11	"Meeting these challenges requires knowledge about how
sustainable develop-  
ment can be achieved and how knowledge can be converted into action."
1	12	"This is
supported by  
knowledge from many different areas that are also integrated into a holistic
perspective."
1	13	"Lund Universitys strategy for sustainable development complements the
Universitys strategic plan  
and observes the Higher Education Act1."
1	14	"The strategy covers the Universitys
entire organisation and  
all employees."
1	15	"Implementation of the strategy is to be carried out in harmony
with other relevant  

1"
1	16	"The requirement for Swedens higher education institutions to promote all
dimensions of sustainable  

development is stated in the Higher Education Act (1992:1434 Chapter 1,
Section 5)."
1	17	"Page 2

2 (4)  

strategies, policy documents, the policy for sustainable development,
regulations and statements,  
and be adapted to the affected organisations conditions, opportunities and
needs."
1	18	"The aim of the  
strategy is consequently to provide a direction and establish a number of
visions, not to regulate  
how the implementation is to be carried out."
1	19	"The visions concern management
and further develop-  
ment of ongoing activities, as well as new aspects of activities."
1	20	"With its comprehensive range of disciplines, Lund University can follow the
holistic approach of  
Agenda 2030 by creating and conveying knowledge with a scientific and artistic
basis."
1	21	"2\. Visions for sustainable development  

Sustainable development is a basic condition that affects the Universitys
education, research, exter-  
nal engagement and organisational development."
1	22	"Education equips undergraduate
and postgraduate  
students to meet challenges and promote subject-relevant perspectives on
sustainable development."
1	23	"Curiosity-driven research plays a crucial role by contributing to the
understanding of our world and  
thereby to preparatory knowledge for already recognised or currently unknown
future challenges."
1	24	"The  
breadth of the University is utilised to create cross-boundary and
interdisciplinary research and edu-  
cation focusing on identified needs for knowledge and sustainable solutions."
1	25	"Sustainable development  
is promoted in society by making research visible and participating in
processes where scientific  
knowledge informs decisions and supports new solutions."
1	26	"The University
utilises opportunities to  
strengthen all parts of the organisation and activities by practising what it
preaches and proactively  
working to develop in relation to the global sustainable development goals."
1	27	"The strategy is used and  
applied in all activities at the University, but how this is done varies
between programmes, fields of  
research and other areas of activity depending on their content and form."
1	28	"2.1 Overall visions  

 Lund University integrates sustainable development in its education,
research, external engage-  
ment and organisational development, and the Universitys employees are well
aware of their  
roles in this work."
1	29	"Lund University is involved in local, regional, national and global social
arenas2 in order for  
scientific knowledge to provide leverage in societys striving for
sustainability, in both the  
short and long term."
1	30	"Lund University is a prominent voice in the field of sustainability within
research and  

teaching as well as in public debate and cultural life."
1	31	"Lund University communicates its sustainability-related work within the
organisation and to  
wider society in ways that make it easy to both reach out and gain access to
its activities."
1	32	"2.2  

Education and student participation  

A basic understanding and knowledge of sustainability is included in
programmes in all cycles and  
within all subjects."
1	33	"This contributes to continuous reflection on the relation
between education and  
sustainable development so that sustainability aspects are integrated in the
students future profes-  
sional roles."
1	34	"As a part of a functioning student influence, students also
participate in the work of in-  
tegrating sustainable development in Lund Universitys activities."
1	35	"Visions for education and student participation:  

2 Arenas and initiatives are used as an overall collective term that may refer
to long-term or fixed-term development work,  
virtual or physical forums, external engagement activities, etc."
1	36	"Different
types of initiative may be relevant for different  
parts of the University."
1	37	"Page 3

3 (4)  

 All students acquire knowledge and understanding of sustainable development
and how their  
programmes relate to this, and thereby contribute expertise in their future
roles in society."
1	38	"There is continuing professional development within sustainable development
for all  

employees at Lund University."
1	39	"The University supports student initiatives in sustainable development and
there are op-  
portunities for students to participate in work to achieve the goals of the
strategy."
1	40	"2.3 Research  

Lund Universitys research develops relevant scientific knowledge that
increases understanding of  
problems related to sustainable development, the possible solutions that exist
and the potential unde-  
sirable effects of solutions that can arise."
1	41	"As sustainability-related
problems are complex and the so-  
lution to a problem can sometimes cause another, Lund University also develops
research that in-  
crease understanding of such connections."
1	42	"An important component in the
Universitys research is to  
use scientific facts and a broad approach to critically review societys
problem monitoring and deci-  
sions in the area of sustainability."
1	43	"The Universitys research is both
critical and solution-oriented and  
generates knowledge that contributes to new perspectives on sustainable
development."
1	44	"Both curios-  
ity-driven and needs-based research form the starting point and inspiration
for interdisciplinary and  
cross-boundary research that is responsive to societys knowledge needs
concerning sustainable de-  
velopment.  

Visions for research:"
1	45	"Research of the highest quality creates the basic knowledge about, and
innovative solu-  

tions to, sustainability-related problems."
1	46	"The Universitys researchers are well aware of the relevance of their own
research to sustain-  
able development and how their research relates to other fields of research
concerning sus-  
tainable development."
1	47	"Forms of interdisciplinary and cross-boundary research on sustainable
development are well  
developed, which among other things entails dedicated initiatives2 that bring
together re-  
search at various faculties."
1	48	"Strategic external engagement with a broad spectrum of collaborating parties
helps to  
identify research needs for sustainable development and to produce knowledge
that  
meets these needs."
1	49	"2.4  

External engagement  

Lund University is involved in strong external engagement regarding
sustainable development issues  
with an aim to identify areas in need of research and education."
1	50	"This external
engagement contributes  
to research being used to support decisions and for critical analysis of
issues relating to sustainable  
development."
1	51	"This is achieved by employees taking part in relevant local,
regional, national and  
global arenas and there engaging in discussions with a broad spectrum of
organisations in society3,  
making available new knowledge that can support decisions, collaborating on
the development of  
solutions that create sustainable development, and identifying new research
and education needs."
1	52	"Visions for external engagement:  

 Lund University generates knowledge that is relevant for sustainable
development in collaboration  

3 E.g. other higher education institutions, public authorities, the business
sector, civil society and citizens."
1	53	"Page 4

4 (4)  

with organisations in society, but also contributes by critically reviewing
societys ef-  
forts regarding sustainable development."
